route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
green,mon-tues-wed-thurs-fri-sat-sun,outbound_0,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_1,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_2,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_3,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_4,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_5,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_6,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_7,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_8,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_9,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_10,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_11,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_12,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_13,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_14,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_15,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_16,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_17,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_18,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_19,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_20,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_21,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_22,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,outbound_23,Green - Fairport Hots to Fairport Baptist Homes,,0,,outbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_0,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_1,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_2,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_3,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_4,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_5,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_6,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_7,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_8,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_9,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_10,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_11,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_12,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_13,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_14,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_15,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_16,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_17,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_18,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_19,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_20,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_21,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_22,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
green,mon-tues-wed-thurs-fri-sat-sun,inbound_23,Green - Fairport Baptist Homes to Fairport Hots,,1,,inbound,1,1
