fare_id,route_id,origin_id,destination_id,contains_id
1,37657,,,
1,37658,,,
1,37659,,,
1,37660,,,
1,37661,,,
1,37662,,,
1,37663,,,
1,37664,,,
1,37665,,,
1,37666,,,
1,37667,,,
1,37668,,,
1,37669,,,
1,37670,,,
1,37671,,,
1,37672,,,
1,37673,,,
1,37674,,,
1,37675,,,
1,37676,,,
1,37677,,,
1,37678,,,
1,37679,,,
1,37680,,,
1,37681,,,
1,37682,,,
1,37683,,,
1,37949,,,
1,37684,,,
1,37685,,,
1,37686,,,
1,37687,,,
1,37688,,,
1,37689,,,
1,37690,,,
1,37691,,,
1,37692,,,
1,37693,,,
1,37694,,,
1,37695,,,
1,37696,,,
1,37697,,,
1,37698,,,
1,37699,,,
1,37700,,,
1,37701,,,
1,37702,,,
1,37703,,,
1,37704,,,
1,37705,,,
1,37706,,,
1,37707,,,
1,37708,,,
1,37709,,,
1,37710,,,
1,37711,,,
1,37712,,,
1,37713,,,
1,37714,,,
1,37715,,,
1,37716,,,
1,37717,,,
1,37718,,,
1,37719,,,
1,37720,,,
1,37721,,,
1,37722,,,
1,37723,,,
1,37724,,,
1,37725,,,
1,37726,,,
1,37727,,,
1,37728,,,
1,37729,,,
1,37730,,,
1,37731,,,
1,37732,,,
1,37733,,,
1,37734,,,
1,37735,,,
1,37736,,,
1,37737,,,
1,37738,,,
1,37739,,,
1,37740,,,
1,37741,,,
1,37742,,,
1,37743,,,
1,37744,,,
1,37745,,,
1,37746,,,
1,37747,,,
1,37748,,,
1,37749,,,
1,37750,,,
1,37751,,,
1,37752,,,
1,37753,,,
1,37754,,,
1,37755,,,
1,37756,,,
1,37757,,,
1,37758,,,
1,37759,,,
1,37760,,,
1,37761,,,
1,37762,,,
1,37763,,,
1,37764,,,
1,37765,,,
1,37766,,,
1,37767,,,
1,37768,,,
1,37769,,,
1,37770,,,
1,37771,,,
1,37772,,,
1,37773,,,
1,37774,,,
1,37775,,,
1,37776,,,
1,37777,,,
1,37778,,,
1,37779,,,
1,37780,,,
1,37781,,,
1,37782,,,
1,37783,,,
1,37784,,,
1,37785,,,
1,37786,,,
1,37787,,,
1,37788,,,
1,37789,,,
1,37790,,,
1,37791,,,
1,37792,,,
1,37793,,,
1,37794,,,
1,37795,,,
1,37796,,,
3,37797,,,
3,37798,,,
3,37799,,,
2,37800,,,
2,37801,,,
1,37802,,,
